model,horizon,final_dollars,total_return_pct,sharpe_ann,max_drawdown_pct,exposure,n_decisions,n_trades
buy_and_hold,t+1,16109.621512638883,61.09621512638883,0.6859768298946067,-35.61721483650726,1.0,938,0
baseline,t+1,15238.326657782532,52.383266577825324,0.6230175053605962,-35.05939351634964,0.9754797441364605,938,17
mohamed_v1,t+1,14278.720588513446,42.78720588513447,0.7157008869923489,-16.02041306532821,0.5756929637526652,938,153
mohamed_v2,t+1,14054.200768171064,40.542007681710636,0.6678460735759949,-16.17203524893046,0.4168443496801706,938,196
mohamed_v3,t+1,14416.873271581593,44.16873271581594,0.5933501205856332,-36.877051027663896,0.7921108742004265,938,85
buy_and_hold,t+3,15841.57428644203,58.41574286442031,0.6855415961448155,-35.52068203989418,1.0,312,0
baseline,t+3,14032.752072405097,40.32752072405097,0.6692160049362843,-25.48721453284921,0.5673076923076923,312,47
mohamed_v1,t+3,16998.78446698109,69.98784466981091,0.8310260237653854,-28.965432070682105,0.9006410256410257,312,29
mohamed_v2,t+3,10285.52339682222,2.855233968222204,0.21848096314608811,-5.825828813512923,0.022435897435897436,312,6
mohamed_v3,t+3,11616.083817200171,16.16083817200171,0.47827777497689716,-11.659705248587626,0.16666666666666666,312,40
buy_and_hold,t+5,15912.436643438945,59.12436643438945,0.6710717340120855,-34.10823692964332,1.0,187,0
baseline,t+5,13328.619737566347,33.28619737566348,0.47869186624158183,-34.61605263086428,0.8128342245989305,187,29
mohamed_v1,t+5,16596.616594404237,65.96616594404236,0.7837648810307162,-23.875426765754305,0.8663101604278075,187,25
mohamed_v2,t+5,15922.284151782587,59.22284151782586,0.6988979698831836,-32.45277272034084,0.8181818181818182,187,25
mohamed_v3,t+5,10825.134790758177,8.251347907581774,0.22984349017872954,-15.217895046159914,0.1443850267379679,187,18
