epoch,train_loss,val_loss,epoch_seconds,improved
1,8.269730804447413,2.1579206857044144,4.516122102737427,1
2,2.067485461690605,1.1670949149359322,5.685002565383911,1
3,1.549331502040282,1.0245649638888945,6.361742734909058,1
4,1.299881904954448,0.9913643690839425,5.77896523475647,1
5,1.1805677674376989,1.0275547744613438,5.901764392852783,0
6,1.1549305787325836,0.8847641314706772,5.607198238372803,1
7,1.075621868341018,1.0045806159396693,5.420886516571045,0
8,1.0577577274201138,0.8794055703083252,5.255265712738037,1
9,1.0833888613106928,0.7862115268489842,6.593832731246948,1
10,1.0760421365424186,0.7444600141187487,6.089390516281128,1
11,1.0062168185913012,0.7869257362498205,6.785894393920898,0
12,1.0991812433543395,0.7263249243557264,6.7078423500061035,1
13,1.0582251743084667,0.9466894827111528,5.092359781265259,0
14,1.067213164070352,0.7742991281845157,4.602862119674683,0
15,0.9867247019708499,0.8900287777090629,4.604282379150391,0
16,0.9848505124918707,1.037390093914651,5.653491735458374,0
17,1.062881565103579,0.8446058956461772,6.576948165893555,0
18,1.0109267053270297,1.1460990017064683,8.018693923950195,0
19,1.0517407828039502,1.0505503685325226,6.827840328216553,0
20,1.0383509788161553,0.9697098840079403,6.311020851135254,0
21,1.012614635196522,0.9919626994704391,7.782239198684692,0
22,1.0476374557148087,0.9098150324341095,6.735135793685913,0
